Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
5003,https://github.com/ror-community/ror-updates/issues/5003,"Modify the information in an existing ROR record: 
Central European Institute of Technology – Masaryk University https://ror.org/009nz6031
",Central European Institute of Technology – Masaryk University,https://ror.org/009nz6031,https://ror.org/02j46qs45,Masaryk University,Parent,Production
5003,https://github.com/ror-community/ror-updates/issues/5003,"Modify the information in an existing ROR record: 
Central European Institute of Technology – Masaryk University https://ror.org/009nz6031
",Masaryk University,https://ror.org/02j46qs45,https://ror.org/009nz6031,Central European Institute of Technology – Masaryk University,Child,Release
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Central European Institute of Technology,https://ror.org/01p7k1986,https://ror.org/03613d656,Brno University of Technology,Related,Production
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Brno University of Technology,https://ror.org/03613d656,https://ror.org/01p7k1986,Central European Institute of Technology,Related,Release
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Central European Institute of Technology,https://ror.org/01p7k1986,https://ror.org/02d02f052,"Czech Academy of Sciences, Institute of Physics of Materials",Related,Production
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,"Czech Academy of Sciences, Institute of Physics of Materials",https://ror.org/02d02f052,https://ror.org/01p7k1986,Central European Institute of Technology,Related,Release
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Central European Institute of Technology,https://ror.org/01p7k1986,https://ror.org/02zyjt610,Veterinary Research Institute,Related,Production
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Veterinary Research Institute,https://ror.org/02zyjt610,https://ror.org/01p7k1986,Central European Institute of Technology,Related,Release
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Central European Institute of Technology,https://ror.org/01p7k1986,https://ror.org/04rk6w354,University of Veterinary Sciences Brno,Related,Release
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,University of Veterinary Sciences Brno,https://ror.org/04rk6w354,https://ror.org/01p7k1986,Central European Institute of Technology,Related,Release
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Central European Institute of Technology,https://ror.org/01p7k1986,https://ror.org/02j46qs45,Masaryk University,Related,Production
5109,https://github.com/ror-community/ror-updates/issues/5109,Modify the information in an existing ROR record: Central European Institute of Technology - https://ror.org/01p7k1986,Masaryk University,https://ror.org/02j46qs45,https://ror.org/01p7k1986,Central European Institute of Technology,Related,Release
4981,https://github.com/ror-community/ror-updates/issues/4981,"Add a new organization to ROR: 
 
Ocean Observatories Initiative",Ocean Observatories Initiative,https://ror.org/00vnfmn19,https://ror.org/03zbnzt98,Woods Hole Oceanographic Institution,Related,Production
4981,https://github.com/ror-community/ror-updates/issues/4981,"Add a new organization to ROR: 
 
Ocean Observatories Initiative",Woods Hole Oceanographic Institution,https://ror.org/03zbnzt98,https://ror.org/00vnfmn19,Ocean Observatories Initiative,Related,Release
4981,https://github.com/ror-community/ror-updates/issues/4981,"Add a new organization to ROR: 
 
Ocean Observatories Initiative",Ocean Observatories Initiative,https://ror.org/00vnfmn19,https://ror.org/00ysfqy60,Oregon State University,Related,Production
4981,https://github.com/ror-community/ror-updates/issues/4981,"Add a new organization to ROR: 
 
Ocean Observatories Initiative",Oregon State University,https://ror.org/00ysfqy60,https://ror.org/00vnfmn19,Ocean Observatories Initiative,Related,Release
4981,https://github.com/ror-community/ror-updates/issues/4981,"Add a new organization to ROR: 
 
Ocean Observatories Initiative",Ocean Observatories Initiative,https://ror.org/00vnfmn19,https://ror.org/00cvxb145,University of Washington,Related,Production
4981,https://github.com/ror-community/ror-updates/issues/4981,"Add a new organization to ROR: 
 
Ocean Observatories Initiative",University of Washington,https://ror.org/00cvxb145,https://ror.org/00vnfmn19,Ocean Observatories Initiative,Related,Release
4614,https://github.com/ror-community/ror-updates/issues/4614,Add a new organization to ROR: University of Georgia Research Foundation,University of Georgia Research Foundation,https://ror.org/04sqkw483,https://ror.org/00te3t702,University of Georgia,Parent,Production
4614,https://github.com/ror-community/ror-updates/issues/4614,Add a new organization to ROR: University of Georgia Research Foundation,University of Georgia,https://ror.org/00te3t702,https://ror.org/04sqkw483,University of Georgia Research Foundation,Child,Release
