html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,locations.geonames_id
https://github.com/ror-community/ror-updates/issues/13005,https://ror.org/02yyskm09,,,,,,,replace==http://www.univ-khenchela.com,,add==univ-khenchela.com,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13011,https://ror.org/02kb89c09,,,,,,,replace==https://www.usthb.dz,,add==usthb.dz,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13014,https://ror.org/044xay220,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13017,https://ror.org/02zj7b759,replace==Australian Plant Phenomics Network*en,,,replace==Australian Plant Phenomics Facility*en,replace==Australian Plant Phenomics Network*en,replace==APPN*en; APPF*en,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13018,https://ror.org/00sw6rd76,,,,,,,replace==https://www.bauc14.edu.iq,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13024,https://ror.org/04y8cs423,,,,"add==Mines Paris - PSL*fr; Mines Paris, Université PSL*fr","replace==École Nationale Supérieure des Mines de Paris*fr; Mines Paris, PSL University*en",,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13043,https://ror.org/055s37c97,replace==Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. - Hans-Knöll-Institut (HKI)*de,,,replace==Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V.*de; Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie Hans-Knöll-Institut*de; Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie*de; Leibniz Institute for Natural Product Research and Infection Biology Hans Knöll Institute*en; Leibniz Institute for Natural Product Research and Infection Biology*en; Leibniz HKI*de; Hans Knöll Institute*en,replace==Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e. V. - Hans-Knöll-Institut (HKI)*de,,replace==https://www.leibniz-hki.de,,add==leibniz-hki.de,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13050,https://ror.org/05v1amx46,,,,,,,,,,,,,,,,,add==Q108737452,replace==Q108737452,
https://github.com/ror-community/ror-updates/issues/13049,https://ror.org/00dv28z40,,,,,,,,,,,,,,,,,add==Q125761957,replace==Q125761957,
https://github.com/ror-community/ror-updates/issues/13048,https://ror.org/02wxx3e24,,,,,,,replace==https://www.b-tu.de,,add==b-tu.de,,,,,,,,,,add==2833073
https://github.com/ror-community/ror-updates/issues/13201,https://ror.org/02ygzhr13,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13202,https://ror.org/05n8t2628,,,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/13207,https://ror.org/00pd74e08,,,,,,replace==UM,,,,,,,,,,,,,
