html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,Notre Dame of Midsayap College*en,active,education,,Notre Dame of Midsayap College*en,NDMC*en,https://www.ndmc.edu.ph,,ndmc.edu.ph,1941,,,,,,,Q7063506,Q7063506,Midsayap,Philippines,1699755,https://ror.org/02wg16120,,,,,
,,Southern Christian College*en,active,education,,Southern Christian College*en,SCC*en,https://southernchristiancollege.edu.ph,,southernchristiancollege.edu.ph,1949,,,,,,,,,Midsayap,Philippines,1699755,https://ror.org/047vzbv48,,,,,
,,South East Asian Institute of Technology*en,active,education,"South East Asian Institute of Technology, Inc.*en",South East Asian Institute of Technology*en,SEAIT*en,https://seait.edu.ph,,seait.edu.ph,2006,,,,,,,,,Tupi,Philippines,1680613,https://ror.org/03r18a392,,,,,
,,Sultan Kudarat State University-Isulan*en,active,education,,Sultan Kudarat State University-Isulan*en,,,,,,,,,,,,,,Isulan,Philippines,1710470,https://ror.org/05pyqcb30,https://ror.org/04yjdkj62,,,,
,,Sultan Kudarat State University-Kalamansig*en,active,education,,Sultan Kudarat State University-Kalamansig*en,,,,,1990,,,,,,,,,Kalamansig,Philippines,1709717,https://ror.org/02mgzhk14,https://ror.org/04yjdkj62,,,,
,,Sultan Kudarat State University-Lutayan*en,active,education,,Sultan Kudarat State University-Lutayan*en,,,,,1990,,,,,,,,,Lutayan,Philippines,1704897,https://ror.org/050571623,https://ror.org/04yjdkj62,,,,
,,Sultan Kudarat State University-Palimbang*en,active,education,,Sultan Kudarat State University-Palimbang*en,,,,,,,,,,,,,,Palimbang,Philippines,1696105,https://ror.org/02fcye007,https://ror.org/04yjdkj62,,,,
,,South Cotabato State College*en,active,education,,South Cotabato State College*en,SCSC*en,https://www.scsc.edu.ph,,scsc.edu.ph,2018,,,,,,,Q31811347,Q31811347,Surallah,Philippines,1685230,https://ror.org/031hc0q70,,,,,
,,City of Malabon University*en,active,education,,City of Malabon University*en,CMU*en,https://cityofmalabonuniversity.edu.ph,,cityofmalabonuniversity.edu.ph,1993,,,,,,,,,Malabon,Philippines,1703320,https://ror.org/0074sqx51,,,,,
,,Mandaluyong College of Science and Technology*en,active,education,,Mandaluyong College of Science and Technology*en,MCST*en,https://mcst.edu.ph,,mcst.edu.ph,,,,,,,,,,Mandaluyong,Philippines,1701966,https://ror.org/008behn77,,,,,
,,Universidad de Manila*es,active,education,City College of Manila*en,Universidad de Manila*es,UDM*es,https://udm.edu.ph,,udm.edu.ph,1995,,,,,,,Q7894328,Q7894328,Manila,Philippines,1701668,https://ror.org/017t6ak72,,,,,
,,Pamantasan ng Lungsod ng Marikina*tl,active,education,,Pamantasan ng Lungsod ng Marikina*tl,PLMar*tl,https://plmar.edu.ph,,plmar.edu.ph,,,,,,,,Q7129039,Q7129039,Marikina,Philippines,1700925,https://ror.org/014gstg25,,,,,
,,Colegio de Muntinlupa*es,active,education,,Colegio de Muntinlupa*es,CDM*es,https://cdm.edu.ph,,cdm.edu.ph,2018,,,,,,,,,Muntinlupa,Philippines,1699076,https://ror.org/037fqer23,,,,,
