html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,ror_id,parent,child,related,successor,predecessor
,,"Xianda College of Economics and Humanities, Shanghai International Studies University*en",,education,,"上海外国语大学贤达经济人文学院*zh; Xianda College of Economics and Humanities, Shanghai International Studies University*en",,https://www.xdsisu.edu.cn,,xdsisu.edu.cn,2004,,,,,,,Q97183031,Q97183031,Shanghai,China,1796236,,https://ror.org/01bn89z48,,,,
,,Shanghai Normal University Tianhua College*en,,education,,上海师范大学天华学院*zh; Shanghai Normal University Tianhua College*en,,https://www.sthu.edu.cn/,,sthu.edu.cn,2005,,,,,,,Q97183063,Q97183063,Shanghai,China,1796236,,https://ror.org/01cxqmw89,,,,
,,Shanghai Institute of Tourism*en,,education,上海旅专; 上海旅行游览专科学校; 上海旅游专科学校,上海旅游高等专科学校*zh; Shanghai Institute of Tourism*en,SIT,https://www.sitsh.edu.cn,,sitsh.edu.cn,1979,,,,,,,Q97183068,Q97183068,Shanghai,China,1796236,,,,https://ror.org/01cxqmw89,,
,,Shanghai Donghai College*en,,education,Shanghai Donghai Vocational & Technical College; Shanghai Donghai Vocational and Technical College; 东海学院,上海东海职业技术学院*zh; Shanghai Donghai College*en,SDC,https://www.esu.edu.cn/,,esu.edu.cn,1993,,,,,,,Q48889323,Q48889323,Shanghai,China,1796236,,,,,,
,,Shanghai Industrial and Commercial Polytechnic*en,,education,,上海工商职业技术学院*zh; Shanghai Industrial and Commercial Polytechnic*en,,http://www.sicp.sh.cn,,sicp.sh.cn,,,,,,,,Q112676459,Q112676459,Shanghai,China,1796236,,,,,,
,,Shanghai Publishing and Printing College*en,,education,,上海出版印刷高等专科学校*zh; Shanghai Publishing and Printing College*en,SPPC,https://www.sppc.edu.cn/,,sppc.edu.cn,1953,,,,,,,Q97183021,Q97183021,Shanghai,China,1796236,,,,https://ror.org/00ay9v204,,
,,Shanghai Xingjian College*en,,education,上海市闸北区业余大学; 上海行健学院,上海行健职业学院*zh; Shanghai Xingjian College*en,,http://www.shxj.edu.cn/,,shxj.edu.cn,1982,,,,,,,Q112676461,Q112676461,Shanghai,China,1796236,,,,,,
,,Shanghai Urban Construction Vocational College*en,,education,,上海城建职业学院*zh; Shanghai Urban Construction Vocational College*en,SUCC,http://www.succ.edu.cn/,,succ.edu.cn,2016,,,,,,,Q56272067,Q56272067,Shanghai,China,1796236,,,,,,
,,Shanghai Communications Polytechnic*en,,education,,上海交通职业技术学院*zh; Shanghai Communications Polytechnic*en,,https://www.scp.edu.cn,,scp.edu.cn,,,,,,0000 0004 4649 0164,0000 0004 4649 0164,Q112676465,Q112676465,Shanghai,China,1796236,,,,,,
,,Shanghai Maritime Academy*en,,education,,上海海事职业技术学院*zh; Shanghai Maritime Academy*en,,http://www.sma.edu.cn/,,sma.edu.cn,1954,,,,,,,Q10867957,Q10867957,Shanghai,China,1796236,,,,,,
,,Shanghai Aurora College*en,,education,,上海震旦职业学院*zh; Shanghai Aurora College*en; 上海震旦職業學院*zh,,https://www.aurora-college.cn/,,aurora-college.cn,1984,,,,,,,Q110276193,Q110276193,Shanghai,China,1796236,,,,,,
,,Shanghai Minyuan Vocational College*en,,education,,上海民远职业技术学院*zh; Shanghai Minyuan Vocational College*en,,https://www.shmy.edu.cn/,,shmy.edu.cn,2003,,,,,,,Q112676466,Q112676466,Shanghai,China,1796236,,,,,,
,,Shanghai Ouhua College*en,,education,,上海欧华职业技术学院*zh; Shanghai Ouhua College*en,,,,,,,,,,,,Q112676467,Q112676467,Shanghai,China,1796236,,,,,,
,,Shanghai Sipo Polytechnic*en,,education,,上海思博职业技术学院*zh; Shanghai Sipo Polytechnic*en,,https://sipo.sicfl.edu.cn/,,sicfl.edu.cn,2003,,,,,,,Q112676468,Q112676468,Shanghai,China,1796236,,,,,,
,,Shanghai Art & Design Academy*en,,education,,上海工艺美术职业学院*zh; Shanghai Art & Design Academy*en,,https://www.sada.edu.cn,,sada.edu.cn,2003,,,,,,,Q112676469,Q112676469,Shanghai,China,1796236,,,,,,
,,Shanghai Jiguang Polytechnic College*en,,education,民办济光学院,上海济光职业技术学院*zh; Shanghai Jiguang Polytechnic College*en,,https://www.shjgu.edu.cn/,,shjgu.edu.cn,1993,,,,,,,Q112676470,Q112676470,Shanghai,China,1796236,,,,,,
,,Shanghai Institute of Commerce & Foreign Languages*en,,education,,上海工商外国语职业学院*zh; Shanghai Institute of Commerce & Foreign Languages*en,SICFL,https://www.sicfl.edu.cn,,sicfl.edu.cn,2001,,,,,,,Q110110170,Q110110170,Shanghai,China,1796236,,,,,,
,,Shanghai College of Science and Technology*en,,education,,上海科学技术职业学院*zh; Shanghai College of Science and Technology*en,SCST,https://www.scst.edu.cn/,,scst.edu.cn,1959,,,,,,,Q112676471,Q112676471,Shanghai,China,1796236,,,,,,
,,Shanghai Vocational College of Agriculture and Forestry*en,,education,,上海农林职业技术学院*zh; Shanghai Vocational College of Agriculture and Forestry*en,,https://www.shafc.edu.cn/,,shafc.edu.cn,2002,,,,,,,Q112676472,Q112676472,上海市,China,1796236,,,,,,
,,Shanghai Bangde College*en,,education,民办上海邦德学院; 民办上海邦德职业技术学院,上海邦德职业技术学院*zh; Shanghai Bangde College*en; Shanghai Bangde Vocational College,,https://www.shbangde.com,,shbangde.com,1998,,,,,,,Q109346455,Q109346455,Shanghai,China,1796236,,,,,,
,,Shanghai Film Art Academy*en,,education,,上海电影艺术职业学院*zh; Shanghai Film Art Academy*en,,http://www.sfaa.com.cn/,,sfaa.com.cn,2003,,,,,,,Q21017027,Q21017027,Shanghai,China,1796236,,,,,,
,,Shanghai Zhonghua College*en,,education,上海中华学院; Shanghai Zhonghua Vocational and Technical College; Shanghai Zhonghua College of Vocational Technology,上海中华职业技术学院*zh; Shanghai Zhonghua College*en,ZHC,https://www.shzhc.edu.cn/,,shzhc.edu.cn,2003,,,,,,,Q112676473,Q112676473,Shanghai,China,1796236,,,,,,
,,Shanghai Vocational College of Trade Union*en,,education,,上海工会管理职业学院*zh; Shanghai Vocational College of Trade Union*en,,,,,1951,,,,,,,Q112676474,Q112676474,Shanghai,China,1796236,,,,,,
,,Shanghai Nanhu Vocational and Technical College*en,,education,,上海南湖职业技术学院*zh; Shanghai Nanhu Vocational and Technical College*en,,https://www.shnhvtc.edu.cn,,shnhvtc.edu.cn,2021,,,,,,,Q112676475,Q112676475,Shanghai,China,1796236,,,,,,
,,Shanghai Kechuang Vocational and Technical College*en,,education,,上海科创职业技术学院*zh; Shanghai Kechuang Vocational and Technical College*en,,http://www.shtivc.edu.cn,,shtivc.edu.cn,,,,,,,,,,Shanghai,China,1796236,,,,,,
,,Shanghai Minhang Vocational and Technical College*en,,education,闵职院,上海闵行职业技术学院*zh; Shanghai Minhang Vocational and Technical College*en,,https://smp.mhedu.sh.cn/zhmh/site/mh1/index,,,2023,,,,,,,,,Shanghai,China,1796236,,,,https://ror.org/04km87929,,
,,Shanghai Modern Chemical Industry Vocational College*en,,education,,上海现代化工职业学院*zh; Shanghai Modern Chemical Industry Vocational College*en,,,,,2022,,,,,,,,,Shanghai,China,1796236,,,,,,
,,Shanghai Construction Management Vocational College*en,,education,,上海建设管理职业技术学院*zh; Shanghai Construction Management Vocational College*en,,https://www.shcmc.edu.cn/,,shcmc.edu.cn,2023,,,,,,,,,Shanghai,China,1796236,,,,,,
,,Shanghai Pudong Vocational and Technical College*en,,education,,上海浦东职业技术学院*zh; Shanghai Pudong Vocational and Technical College*en,,,,,2023,,,,,,,Q126867938,Q126867938,Shanghai,China,1796236,,,,,,
,,Nanjing Normal University of Special Education*en,,education,南京特殊教育职业技术学院; Nanjing Technical College of Special Education,南京特殊教育师范学院*zh; Nanjing Normal University of Special Education*en,,https://www.njts.edu.cn/,,njts.edu.cn,1982,,,,,0000 0004 1762 3810,0000 0004 1762 3810,Q10906869,Q10906869,Nanjing,China,1799962,,,,,,
,,Taizhou University*en,,education,泰州师范高等专科学校; 泰州师范专科学校,泰州学院*zh; Taizhou University*en,,https://www.tzu.edu.cn/,,tzu.edu.cn,1941,,,,,,,Q11145082,Q11145082,Taizhou,China,1793505,,,,,,
,,"Xuhai College, China University of Mining and Technology*en",,education,,"中国矿业大学徐海学院*zh; Xuhai College, China University of Mining and Technology*en",,https://xhxy.cumt.edu.cn,,xhxy.cumt.edu.cn,1999,,,,,,,Q10874003,Q10874003,Xuzhou,China,10630003,,,,https://ror.org/01xt2dr21,,
,,Nanjing University Jinling College*en,,education,,南京大学金陵学院*zh; Nanjing University Jinling College*en,,http://www.jlxy.nju.edu.cn,,jlxy.nju.edu.cn,1998,,,,,,,Q6202600,Q6202600,Nanjing,China,1799962,,https://ror.org/01rxvg760,,,,
,,Nanhang Jincheng College*en,,education,Nanhang Jincheng College; Jincheng College of Nanjing University of Aeronautics and Astronautics,南京航空航天大学金城学院*zh; Nanhang Jincheng College*en; Jincheng College of Nanjing University of Aeronautics and Astronautics*en,,http://jc.nuaa.edu.cn,,jc.nuaa.edu.cn,1999,,,,,,,Q10906887,Q10906887,Nanjing,China,1799962,,,,,,
,,Taizhou Institute of Science and Technology*en,,education,,南京理工大学泰州科技学院*zh; Taizhou Institute of Science and Technology*en,,http://www.nustti.edu.cn,,nustti.edu.cn,2004,,,,,,,Q10906875,Q10906875,Taizhou,China,1793505,,https://ror.org/00xp9wg62,,,,
,,Pujiang Institute*en,,education,Nanjing Tech University Pujiang Institute; 南京化工大学浦江学院,南京工业大学浦江学院*zh; Pujiang Institute*en,,https://www.njpji.edu.cn,,njpji.edu.cn,1998,,,,,,,Q10906761,Q10906761,Nanjing,China,1799962,,https://ror.org/03sd35x91,,,,
,,Nanjing Normal University Zhongbei College*en,,education,,南京师范大学中北学院*zh; Nanjing Normal University Zhongbei College*en,,https://www.nnudy.edu.cn,,nnudy.edu.cn,1999,,,,,,,Q10906833,Q10906833,,China,1813802,,https://ror.org/036trcv74,,,,
,,Nanjing University of Chinese Medicine Hanlin College*en,,education,,南京中医药大学翰林学院*zh; Nanjing University of Chinese Medicine Hanlin College*en,,http://www.hlxy.edu.cn/,,hlxy.edu.cn,2002,,,,,,,Q10906640,Q10906640,Taizhou,China,1793505,,,,https://ror.org/04523zj19,,
,,Applied Technology College of Soochow University*en,,education,蘇州大學應用技術學院,苏州大学应用技术学院*zh; Applied Technology College of Soochow University*en,,https://tec.suda.edu.cn/,,tec.suda.edu.cn,1997,,,,,,,Q15912163,Q15912163,,China,1785623,,,,https://ror.org/05t8y2r12,,
,,Tianping College of Suzhou University of Science and Technology*en,,education,苏州科技学院天平学院,苏州科技大学天平学院*zh; Tianping College of Suzhou University of Science and Technology*en,,https://tpxy.usts.edu.cn,,tpxy.usts.edu.cn,1999,,,,,,,Q15934212,Q15934212,Nanjing,China,1799962,,,,https://ror.org/04en8wb91,,
,,Jiangsu University Jingjiang College*en,,education,Jingjiang College; 江苏理工大学京江学院,江苏大学京江学院*zh; Jiangsu University Jingjiang College*en,,http://jjxy.ujs.edu.cn,,jjxy.ujs.edu.cn,1999,,,,,,,Q11134913,Q11134913,Zhenjiang,China,1784642,,https://ror.org/03jc41j30,,,,
,,Guangling College of Yangzhou University*en,,education,,扬州大学广陵学院*zh; Guangling College of Yangzhou University*en,,https://glxy.yzu.edu.cn/,,,1998,,,,,,,Q112676478,Q112676478,Yangzhou,China,1787227,,,,https://ror.org/03tqb8s11,,
,,Jiangsu Normal University Kewen College*en,,education,徐州师范大学科文学院,江苏师范大学科文学院*zh; Jiangsu Normal University Kewen College*en,,http://kwxy.jsnu.edu.cn,,kwxy.jsnu.edu.cn,2000,,,,,,,Q11134918,Q11134918,徐州市,China,10630003,,,,https://ror.org/051hvcm98,,
,,Tongda College of Nanjing University of Posts and Telecommunications*en,,education,,南京邮电大学通达学院*zh; Tongda College of Nanjing University of Posts and Telecommunications*en,,http://tdxy.njupt.edu.cn,,tdxy.njupt.edu.cn,1999,,,,,,,Q10906916,Q10906916,Yangzhou,China,1787227,,,,https://ror.org/043bpky34,,
,,Nanjing University of Finance & Economics Hongshan College*en,,education,,南京财经大学红山学院*zh; 南京经济学院红山分院*zh; Nanjing University of Finance & Economics Hongshan College*en,,https://hs.nufe.edu.cn,,hs.nufe.edu.cn,1999,,,,,,,Q10906901,Q10906901,Nanjing,China,1799962,,,,https://ror.org/031y8am81,,
,,"Suzhou Institute of Technology, Jiangsu University of Science and Technology*en",,education,江苏科技大学南徐学院,"江苏科技大学苏州理工学院*zh; Suzhou Institute of Technology, Jiangsu University of Science and Technology*en",,https://justsit.edu.cn/,,justsit.edu.cn,2002,,,,,,,Q11135054,Q11135054,,China,1787331,,,,https://ror.org/00tyjp878,,
,,Changzhou University Huaide College*en,,education,江苏工业学院怀德学院; Huaide College of Changzhou University,常州大学怀德学院*zh; Changzhou University Huaide College*en,,http://hdc.cczu.edu.cn,,,2002,,,,,,,Q11060346,Q11060346,,China,1805639,,,,https://ror.org/04ymgwq66,,
,,Nantong University Xinglin College*en,,education,"南通医学院杏林学院; Xinglin College, Nantong University",南通大学杏林学院*zh; Nantong University Xinglin College*en,,https://xlxy.ntu.edu.cn,,xlxy.ntu.edu.cn,2005,,,,,,,Q10909093,Q10909093,Qidong,China,1798079,,https://ror.org/02afcvw97,,,,
,,Nanjing Audit University Jinshen College*en,,education,,南京审计大学金审学院*zh; Nanjing Audit University Jinshen College*en,,https://www.naujsc.edu.cn/,,naujsc.edu.cn,2002,,,,,,,Q10906758,Q10906758,Nanjing,China,1799962,,https://ror.org/04zj2bd87,,,,
,,Lianyungang Normal College*en,,education,连云港师范高等专科学校,连云港师范学院*zh; Lianyungang Normal College*en,,https://www.lygsf.edu.cn,,lygsf.edu.cn,2000,,,,,,,Q15908349,Q15908349,Lianyungang,China,10859300,,,,,,
,,Yancheng KinderGarten Teachers College*en,,education,,盐城幼儿师范高等专科学校*zh; Yancheng KinderGarten Teachers College*en,,http://www.yyz.edu.cn,,yyz.edu.cn,2016,,,,,,,Q65051507,Q65051507,Yancheng,China,1787746,,,,,,
,,Suzhou Preschool Education College*en,,education,,苏州幼儿师范高等专科学校*zh; Suzhou Preschool Education College*en,,,,,,,,,,,,,,Suzhou,China,1886760,,,,,,
,,Mingda Polytechnic Institute*en,,education,民办明达职业技术学院,明达职业技术学院*zh; Mingda Polytechnic Institute*en,,http://www.mdut.cn/,,mdut.cn,1999,,,,,,,Q11128912,Q11128912,Yancheng,China,1787746,,,,,,
,,Jiangsu College of Engineering and Technology*en,,education,南通纺织职业技术学院,江苏工程职业技术学院*zh; Jiangsu College of Engineering and Technology*en,JCET,https://www.jcet.edu.cn/,,jcet.edu.cn,1912,,,,,,,Q112676479,Q112676479,Nantong,China,1799722,,,,,,
,,Nantong Vocational University*en,,education,,南通职业大学*zh; Nantong Vocational University*en,,https://www.ntvu.edu.cn/,,ntvu.edu.cn,1973,,,,,0000 0004 1762 6966,0000 0004 1762 6966,Q10909108,Q10909108,Nantong,China,1799722,,,,,,
,,Jiuzhou Polytechnic*en,,education,,九州职业技术学院*zh; Jiuzhou Polytechnic*en,,http://www.jzp.edu.cn/,,jzp.edu.cn,1993,,,,,,,Q10878833,Q10878833,Xuzhou,China,10630003,,,,,,
,,Silicon Lake College*en,,education,,硅湖职业技术学院*zh; Silicon Lake College*en,,http://www.usl.edu.cn/,,usl.edu.cn,1998,,,,,,,Q17039582,Q17039582,Kunshan,China,1785623,,,,,,
,,Taizhou Polytechnic College*en,,education,,泰州职业技术学院*zh; Taizhou Polytechnic College*en,,http://www.tzpc.edu.cn/,,tzpc.edu.cn,1996,,,,,,,Q11145099,Q11145099,Taizhou,China,1793505,,,,,,
,,Changzhou University of Information Technology*en,,education,常州信息职业技术大学; Changzhou College of Information Technology,常州信息职业技术学院*zh; Changzhou University of Information Technology*en,CCIT,http://czcit.edu.cn/,,czcit.edu.cn,1962,,,,,0000 0004 1762 4688,0000 0004 1762 4688,Q11060343,Q11060343,Changzhou,China,1815456,,,,,,
,,Jiangsu Union Technical Institute*en,,education,,江苏联合职业技术学院*zh; Jiangsu Union Technical Institute*en,,http://www.juti.cn,,juti.cn,2003,,,,,,,Q11135068,Q11135068,Nanjing,China,1799962,,,,,,
,,Yingtian Vocational and Technical College*en,,education,应天学院; Yingtian College,应天职业技术学院*zh; Yingtian Vocational and Technical College*en,,http://www.ytzyjsxy.cn/,,ytzyjsxy.cn,2003,,,,,,,Q11062953,Q11062953,Nanjing,China,1799962,,,,,,
,,Yangzhou Vocational College of Environment and Resources*en,,education,,扬州环境资源职业技术学院*zh; Yangzhou Vocational College of Environment and Resources*en,,http://www.yzerc.edu.cn/,,yzerc.edu.cn,1956,,,,,0000 0004 1762 6819,0000 0004 1762 6819,Q11076187,Q11076187,扬州市,China,1787227,,,,,,
,,Nantong College of Science and Technology*en,,education,南通农业职业技术学院,南通科技职业学院*zh; Nantong College of Science and Technology*en,,https://www.ntst.edu.cn,,ntst.edu.cn,1945,,,,,,,Q10909089,Q10909089,Nantong,China,1799722,,,,,,
,,Suzhou Top Institute of Information Technology*en,,education,,苏州托普信息职业技术学院*zh; Suzhou Top Institute of Information Technology*en,,https://www.szetop.edu.cn,,szetop.edu.cn,2003,,,,,,,Q17029835,Q17029835,Suzhou,China,1886760,,,,,,
,,Jiangsu Shipping College*en,,education,南通航运职业技术学院; Nantong Shipping College,江苏航运职业技术学院*zh; Jiangsu Shipping College*en,,http://www.ntsc.edu.cn/,,ntsc.edu.cn,1960,,,,,,,Q10909109,Q10909109,Nantong,China,1799722,,,,,,
,,Nanjing Vocational Institute of Transport Technology*en,,education,,南京交通职业技术学院*zh; Nanjing Vocational Institute of Transport Technology*en,NJITT,http://www.njitt.edu.cn/,,njitt.edu.cn,1953,,,,,0000 0004 1762 3693,0000 0004 1762 3693,Q10906650,Q10906650,Nanjing,China,1799962,,,,,,
,,Jiangsu Vocational College of Electronics and Information*en,,education,淮安信息职业技术学院,江苏电子信息职业学院*zh; Jiangsu Vocational College of Electronics and Information*en,,http://www.jsei.edu.cn,,jsei.edu.cn,1978,,,,,,,Q11152660,Q11152660,Huai'an,China,1797873,,,,,,
,,Taihu Vocational and Technical College of Originality*en,,education,培尔职业技术学院,太湖创意职业技术学院*zh; Taihu Vocational and Technical College of Originality*en,,http://www.thcyzy.org/,,thcyzy.org,2001,,,,,,,Q10941598,Q10941598,Wuxi,China,1790923,,,,,,
,,Yanhuang Technological College*en,,education,,炎黄职业技术学院*zh; Yanhuang Technological College*en,,http://www.yhjyjt.cn,,yhjyjt.cn,1999,,,,,,,Q17035015,Q17035015,Huai'an,China,1797873,,,,,,
,,Zhengde Polytechnic*en,,education,正德学院; Zhengde Polytechnic College,正德职业技术学院*zh; Zhengde Polytechnic*en,,http://www.zdxy.cn/,,zdxy.cn,1998,,,,,,,Q11123431,Q11123431,Nanjing,China,1799962,,,,,,
,,Zhongshan Vocational College*en,,education,,钟山职业技术学院*zh; Zhongshan Vocational College*en,,http://www.zscollege.com/,,zscollege.com,1998,,,,,,,Q15940272,Q15940272,Nanjing,China,1799962,,,,,,
,,Wuxi South Ocean College*en,,education,,无锡南洋职业技术学院*zh; Wuxi South Ocean College*en,,http://www.wsoc.edu.cn/,,wsoc.edu.cn,1998,,,,,0000 0004 1762 5357,0000 0004 1762 5357,Q11085936,Q11085936,Wuxi,China,1790923,,,,,,
,,Jiangnan Vocational College of Media Arts*en,,education,江南影视艺术学院; Jiangnan Film and Television Art Vocational College,江南影视艺术职业学院*zh; Jiangnan Vocational College of Media Arts*en,,http://www.jnys.cn,,jnys.cn,2003,,,,,,,Q11133811,Q11133811,Wuxi,China,1790923,,,,,,
,,Jinken College of Technology*en,,education,,金肯职业技术学院*zh; Jinken College of Technology*en,,http://www.jku.edu.cn/,,jku.edu.cn,2000,,,,,0000 0004 1762 3634,0000 0004 1762 3634,Q17040294,Q17040294,Nanjing,China,1799962,,,,,,
,,Jiangsu Vocational College of Agriculture and Forestry*en,,education,Jiangsu Polytechnic College of Agriculture and Forestry,江苏农林职业技术学院*zh; Jiangsu Vocational College of Agriculture and Forestry*en,,http://www.jsafc.edu.cn/,,jsafc.edu.cn,1923,,,,,,,Q11134883,Q11134883,Jurong,China,1804909,,,,,,
,,Jiandong Vocational and Technical College*en,,education,,建东职业技术学院*zh; Jiandong Vocational and Technical College*en,,http://www.czjdu.com/,,czjdu.com,2003,,,,,,,Q11065163,Q11065163,Changzhou,China,1815456,,,,,,
,,Jiangsu Vocational College of Information Technology*en,,education,Jiangsu Vocational College of Information Technology,江苏信息职业技术学院*zh; Jiangsu Vocational College of Information Technology*en,JSIT,https://www.jsit.edu.cn/,,jsit.edu.cn,2002,,,,,,,Q11134879,Q11134879,Wuxi,China,1790923,,,,,,
,,Suqian Vocational and Technical College*en,,education,,宿迁职业技术学院*zh; Suqian Vocational and Technical College*en,,https://www.sqzyxy.com,,sqzyxy.com,2000,,,,,,,Q112676486,Q112676486,Suqian,China,1793771,,,,,,
,,Nanjing Vocational College of Information Technology*en,,education,Nanjing College of Information and Technology; 南信院,南京信息职业技术学院*zh; Nanjing Vocational College of Information Technology*en,,http://www.njcit.cn/,,njcit.cn,1953,,,,,,,Q10906658,Q10906658,Nanjing,China,1799962,,,,,,
,,Jianghai Polytechnic College*en,,education,Jianghai Vocational and Technical College,江海职业技术学院*zh; Jianghai Polytechnic College*en,,http://www.jhu.cn/,,jhu.cn,1999,,,,,,,Q11134704,Q11134704,Yangzhou,China,1787227,,,,,,
,,Jiangyin Polytechnic College*en,,education,Jiangyin Polytechnic College,江阴职业技术学院*zh; Jiangyin Polytechnic College*en,,https://www.jypc.edu.cn/,,jypc.edu.cn,2002,,,,,,,Q11135568,Q11135568,Jiangyin,China,1815251,,,,,,
,,Wuxi City College of Vocational Technology*en,,education,,无锡城市职业技术学院*zh; Wuxi City College of Vocational Technology*en,,https://www.wxcu.edu.cn/,,wxcu.edu.cn,2004,,,,,,,Q11085948,Q11085948,Wuxi,China,1790923,,,,,,
,,Jinshan Vocational Technical College*en,,education,,金山职业技术学院*zh; Jinshan Vocational Technical College*en,,https://www.jscu.cn,,jscu.cn,2004,,,,,,,Q15936138,Q15936138,Zhenjiang,China,1784642,,,,,,
,,Jiangsu Vocational College of Finance and Economics*en,,education,Jiangsu Vocational College of Finance & Economics,江苏财经职业技术学院*zh; Jiangsu Vocational College of Finance and Economics*en,,http://www.jscjxy.cn,,jscjxy.cn,2004,,,,,,,Q11135078,Q11135078,Huai'an,China,1797873,,,,,,
,,Suzhou Centennial College*en,,education,,苏州百年职业学院*zh; Suzhou Centennial College*en,SCC,https://www.scc.edu.cn/,,scc.edu.cn,2016,,,,,,,Q55316691,Q55316691,Suzhou,China,1886760,,,,https://ror.org/04en8wb91; https://ror.org/05bhp3g52,,
,,Kunshan Dengyun College of Science and Technology*en,,education,,昆山登云科技职业学院*zh; Kunshan Dengyun College of Science and Technology*en,,https://www.dyc.edu.cn/,,dyc.edu.cn,2005,,,,,,,Q11087394,Q11087394,Kunshan,China,1785623,,,,,,
,,Nanjing Institute of Visual Arts*en,,education,,南京视觉艺术职业学院*zh; Nanjing Institute of Visual Arts*en,NIVA,http://www.niva.cn,,niva.cn,2000,,,,,,,Q10906898,Q10906898,Nanjing,China,1799962,,,,,,
,,Jiangsu City Vocational College*en,,education,,江苏城市职业学院*zh; Jiangsu City Vocational College*en,,http://www.jscvc.cn,,jscvc.cn,2006,,,,,,,Q11134910,Q11134910,Nanjing,China,1799962,,,,,,
,,Nanjing City Vocational College*en,,education,南京开放大学,南京城市职业学院*zh; Nanjing City Vocational College*en,,https://www.njou.edu.cn,,njou.edu.cn,2006,,,,,,,Q10906690,Q10906690,Nanjing,China,1799962,,,,,,
,,Suzhou Global Institute*en,,education,苏州高博软件技术职业学院; Suzhou Global Institute of Software Technology; Global Institute of Software Technology,苏州高博职业学院*zh; Suzhou Global Institute*en,SGI,http://www.gist.edu.cn/,,gist.edu.cn,2007,,,,,0000 0004 1762 723X,0000 0004 1762 723X,Q17029915,Q17029915,Suzhou,China,1886760,,,,,,
,,Nanjing Institute of Tourism and Hospitality*en,,education,Nanjing Institute of Tourism and Hospitality; Nanjing Institute of Tourism & Hospitality; 南京金陵旅馆管理干部学院,南京旅游职业学院*zh; Nanjing Institute of Tourism and Hospitality*en,,http://www.jltu.net,,jltu.net,2001,,,,,,,Q10906841,Q10906841,Nanjing,China,1799962,,,,,,
,,Jiangsu Health Vocational College*en,,education,江苏建康职业学院; 江苏职工医科大学,江苏卫生健康职业学院*zh; Jiangsu Health Vocational College*en,,https://www.jshvc.edu.cn/,,jshvc.edu.cn,1981,,,,,,,Q11134919,Q11134919,Nanjing,China,1799962,,,,,,
,,Suzhou College of Information Technology*en,,education,,苏州信息职业技术学院*zh; Suzhou College of Information Technology*en,,http://www.szitu.cn/,,szitu.cn,2009,,,,,,,Q17029731,Q17029731,Suzhou,China,1886760,,,,,,
,,Suqian Zeda Vocational and Technical College*en,,education,Suqian Zeda Vocational & Technical College,宿迁泽达职业技术学院*zh; Suqian Zeda Vocational and Technical College*en,,https://www.zdct.cn/,,zdct.cn,2010,,,,,,,Q10952398,Q10952398,Suqian,China,1793771,,,,,,
,,Xuzhou Kindergarten Teachers College*en,,education,徐州幼专,徐州幼儿师范高等专科学校*zh; Xuzhou Kindergarten Teachers College*en,,https://www.xzyz.edu.cn/,,xzyz.edu.cn,1984,,,,,,,Q17163996,Q17163996,Xuzhou,China,10630003,,,,,,
,,Xuzhou Vocational College of Bioengineering*en,,education,江苏省徐州生物工程学校,徐州生物工程职业技术学院*zh; Xuzhou Vocational College of Bioengineering*en,,http://www.xzsw.net/,,xzsw.net,2012,,,,,,,Q17163998,Q17163998,Xuzhou,China,10630003,,,,,,
,,Jiangsu Vocational College of Business*en,,education,江苏省南通商贸高等职业学校,江苏商贸职业学院*zh; Jiangsu Vocational College of Business*en,,https://www.jsbc.edu.cn,,jsbc.edu.cn,1956,,,,,,,Q65051497,Q65051497,Nantong,China,1799722,,,,,,
,,Nantong Normal College*en,,education,,南通师范高等专科学校*zh; Nantong Normal College*en,,https://www.ntnc.edu.cn/,,ntnc.edu.cn,1902,,,,,,,Q65051501,Q65051501,Nantong,China,1799722,,,,,,
,,Yangzhou Hospitality Vocational College*en,,education,Yangzhou Hospitality Institute,扬州中瑞酒店职业学院*zh; Yangzhou Hospitality Vocational College*en,YHVC,https://www.yhvc.edu.cn,,yhvc.edu.cn,2014,,,,,,,Q112676487,Q112676487,扬州市,China,1787227,,,,,,
,,Jiangsu College of Nursing*en,,education,,江苏护理职业学院*zh; Jiangsu College of Nursing*en,,https://www.jscn.edu.cn/,,jscn.edu.cn,1958,,,,,,,Q65051511,Q65051511,Huai'an,China,1797873,,,,,,
,,Jiangsu College of Finance and Accounting*en,,education,江苏省连云港财经高等职业技术学校; Jiangsu College of Finance & Accounting,江苏财会职业学院*zh; Jiangsu College of Finance and Accounting*en,JSCFA,https://www.jscfa.edu.cn,,jscfa.edu.cn,1964,,,,,,,Q30943543,Q30943543,Lianyungang,China,10859300,,,,https://ror.org/04ac0qk71,,
,,Jiangsu Urban and Rural Construction College*en,,education,Jiangsu Urban and Rural Construction Vocational College,江苏城乡建设职业学院*zh; Jiangsu Urban and Rural Construction College*en,JSCC,https://www.jscc.edu.cn/,,jscc.edu.cn,1986,,,,,,,Q65051504,Q65051504,Changzhou,China,1815456,,,,,,
