html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,comment
,https://ror.org/027w7k187,Unidade Hospitalar de Famalicão*pt,active,healthcare,ULS Medio Ave*pt,Unidade Hospitalar de Famalicão*pt,,https://www.ulsmave.min-saude.pt,,ulsmave.min-saude.pt,,,,,,0000 0004 5914 3081,0000 0004 5914 3081,Q124773935,Q124773935,Vila Nova de Famalicão,Portugal,2732547,,
,https://ror.org/02xbxe736,Unidade Hospitalar de Lamego*pt,active,healthcare,,Unidade Hospitalar de Lamego*pt,,https://www.chtmad.min-saude.pt/consultas/ce-lamego/,,,,,,,,0000 0004 0631 4561,0000 0004 0631 4561,,,Lamego,Portugal,2738459,,
,https://ror.org/01hf1b360,Unidade Hospitalar de Mirandela*pt,active,healthcare,,Unidade Hospitalar de Mirandela*pt,,https://www.cm-mirandela.pt/pages/870?poi_id=122,,,,,,,,0000 0004 5914 3516,0000 0004 5914 3516,Q124847273,Q124847273,Mirandela,Portugal,2737639,,
,https://ror.org/01yv6t270,Unidade Hospitalar de Portimão*pt,active,healthcare,,Unidade Hospitalar de Portimão*pt,,https://www.chualgarve.min-saude.pt/como-chegar/hospital-de-portimao/,,,,,,,,0000 0004 5914 3030,0000 0004 5914 3030,,,Portimao,Portugal,2264456,,
,https://ror.org/03qx44y49,Unidade Hospitalar de Santo Tirso*pt,active,healthcare,,Unidade Hospitalar de Santo Tirso*pt,,https://www.ulsmave.min-saude.pt/unidade-de-santo-tirso/,,,,,,,,0000 0004 5914 3073,0000 0004 5914 3073,Q124773605,Q124773605,Santo Tirso,Portugal,2734570,,
,https://ror.org/00bz9sk84,Unidade Local de Saúde da Arrábida*pt,active,healthcare,,Unidade Local de Saúde da Arrábida*pt,ULSA*pt,https://www.chs.min-saude.pt,,chs.min-saude.pt,,,,,,0000 0005 1445 3251,0000 0005 1445 3251,Q124819667,Q124819667,Setubal,Portugal,2262963,,
,https://ror.org/051nhwc34,Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde*pt,active,healthcare,,Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde*pt,ULSPVVC*pt,https://www.ulsrl.min-saude.pt,,ulsrl.min-saude.pt,,,,,,0000 0005 1445 0659,0000 0005 1445 0659,Q124767856,Q124767856,Vila do Conde,Portugal,2732649,,
,https://ror.org/029we7x82,Unidade Local de Saúde da Região de Aveiro*pt,active,healthcare,,Unidade Local de Saúde da Região de Aveiro*pt,,https://ulsra.min-saude.pt,,ulsra.min-saude.pt,,,,,,0000 0005 1423 1464,0000 0005 1423 1464,Q50036448,Q50036448,Ovar,Portugal,2736930,,
,https://ror.org/059ewmk29,Unidade Local de Saúde da Região de Leiria*pt,active,healthcare,,Unidade Local de Saúde da Região de Leiria*pt,,https://www.ulsrl.min-saude.pt,,ulsrl.min-saude.pt,,,,,,0000 0005 1445 086X,0000 0005 1445 086X,Q124790013,Q124790013,Leiria,Portugal,2267095,,
,https://ror.org/03ejw6j35,Unidade Local de Saude de Barcelos/Esposende*pt,active,healthcare,,Unidade Local de Saude de Barcelos/Esposende*pt,,https://www.ulsbe.min-saude.pt,,ulsbe.min-saude.pt,,,,,,0000 0005 1444 3045,0000 0005 1444 3045,Q124750577,Q124750577,Barcelos,Portugal,2742416,,
,https://ror.org/03szevt88,Unidade Local de Saúde de Viseu Dão-Lafões*pt,active,healthcare,,Unidade Local de Saúde de Viseu Dão-Lafões*pt,,https://www.chtv.min-saude.pt,,chtv.min-saude.pt,,,,,,0000 0005 1445 7295,0000 0005 1445 7295,Q50036450,Q50036450,Viseu,Portugal,2732264,,
,https://ror.org/05kftaj26,Unidade Local de Saúde do Alentejo Central*pt,active,healthcare,,Unidade Local de Saúde do Alentejo Central*pt,,https://www.ulsac.min-saude.pt,,ulsac.min-saude.pt,,,,,,0000 0005 1445 3286,0000 0005 1445 3286,Q124812362,Q124812362,Evora,Portugal,2268406,,
,https://ror.org/049cs4442,Unidade Local de Saude do Alto Ave *pt,active,healthcare,,Unidade Local de Saude do Alto Ave *pt,,https://www.ulsaave.min-saude.pt,,ulsaave.min-saude.pt,,,,,,0000 0005 1444 3037,0000 0005 1444 3037,,,Guimarães,Portugal,2738752,,
,https://ror.org/03re1b483,Unidade Local de Saúde do Médio Ave*pt,active,healthcare,,Unidade Local de Saúde do Médio Ave*pt,,https://www.ulsmave.min-saude.pt,,ulsmave.min-saude.pt,,,,,,0000 0005 1445 0667,0000 0005 1445 0667,Q124774178,Q124774178,Santo Tirso,Portugal,2734570,,
,https://ror.org/05eqpgf47,Unidade Local de Saúde do Médio Tejo*pt,active,healthcare,,Unidade Local de Saúde do Médio Tejo*pt,,https://www.chmt.min-saude.pt,,chmt.min-saude.pt,,,,,,0000 0005 1445 3243,0000 0005 1445 3243,Q124819348,Q124819348,Tomar,Portugal,2262644,,
