Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
21320,https://github.com/ror-community/ror-updates/issues/21320,"Add a new organization to ROR: 
 
Centre for Earth Observation Science",Centre for Earth Observation Science,https://ror.org/05pcf2t08,https://ror.org/02gfys938,University of Manitoba,Parent,Production
21320,https://github.com/ror-community/ror-updates/issues/21320,"Add a new organization to ROR: 
 
Centre for Earth Observation Science",University of Manitoba,https://ror.org/02gfys938,https://ror.org/05pcf2t08,Centre for Earth Observation Science,Child,Release
23051,https://github.com/ror-community/ror-updates/issues/23051,Modify the information in an existing ROR record: Southern General Hospital,Southern General Hospital,https://ror.org/04wvkky61,https://ror.org/04y0x0x35,Queen Elizabeth University Hospital,Successor,Production
22533,https://github.com/ror-community/ror-updates/issues/22533,Add a new organization to ROR: Génétique et physiopathologie des maladies cérébro-vasculaires,Génétique et physiopathologie des maladies cérébro-vasculaires,https://ror.org/05xf7j173,https://ror.org/05f82e368,Université Paris Cité,Parent,Production
22533,https://github.com/ror-community/ror-updates/issues/22533,Add a new organization to ROR: Génétique et physiopathologie des maladies cérébro-vasculaires,Université Paris Cité,https://ror.org/05f82e368,https://ror.org/05xf7j173,Génétique et physiopathologie des maladies cérébro-vasculaires,Child,Release
22533,https://github.com/ror-community/ror-updates/issues/22533,Add a new organization to ROR: Génétique et physiopathologie des maladies cérébro-vasculaires,Génétique et physiopathologie des maladies cérébro-vasculaires,https://ror.org/05xf7j173,https://ror.org/02vjkv261,Inserm,Parent,Production
22533,https://github.com/ror-community/ror-updates/issues/22533,Add a new organization to ROR: Génétique et physiopathologie des maladies cérébro-vasculaires,Inserm,https://ror.org/02vjkv261,https://ror.org/05xf7j173,Génétique et physiopathologie des maladies cérébro-vasculaires,Child,Release
22534,https://github.com/ror-community/ror-updates/issues/22534,"Add a new organization to ROR: Génétique, physiopathologie et approches thérapeutiques des maladies héréditaires","Génétique, physiopathologie et approches thérapeutiques des maladies héréditaires",https://ror.org/04py13j66,https://ror.org/05f82e368,Université Paris Cité,Parent,Production
22534,https://github.com/ror-community/ror-updates/issues/22534,"Add a new organization to ROR: Génétique, physiopathologie et approches thérapeutiques des maladies héréditaires",Université Paris Cité,https://ror.org/05f82e368,https://ror.org/04py13j66,"Génétique, physiopathologie et approches thérapeutiques des maladies héréditaires",Child,Release
22535,https://github.com/ror-community/ror-updates/issues/22535,Add a new organization to ROR: Hématologie,Laboratoire d'hématologie,https://ror.org/05b9w4n89,https://ror.org/05f82e368,Université Paris Cité,Parent,Production
22535,https://github.com/ror-community/ror-updates/issues/22535,Add a new organization to ROR: Hématologie,Université Paris Cité,https://ror.org/05f82e368,https://ror.org/05b9w4n89,Laboratoire d'hématologie,Child,Release
22535,https://github.com/ror-community/ror-updates/issues/22535,Add a new organization to ROR: Hématologie,Laboratoire d'hématologie,https://ror.org/05b9w4n89,https://ror.org/00pg5jh14,Assistance Publique – Hôpitaux de Paris,Parent,Production
22535,https://github.com/ror-community/ror-updates/issues/22535,Add a new organization to ROR: Hématologie,Assistance Publique – Hôpitaux de Paris,https://ror.org/00pg5jh14,https://ror.org/05b9w4n89,Laboratoire d'hématologie,Child,Release
22536,https://github.com/ror-community/ror-updates/issues/22536,"Add a new organization to ROR: Infection à VIH, réservoirs, diversité génétique et résistance aux antirétroviraux","Infection à VIH, réservoirs, diversité génétique et résistance aux antirétroviraux",https://ror.org/01m5tsd56,https://ror.org/05f82e368,Université Paris Cité,Parent,Production
22536,https://github.com/ror-community/ror-updates/issues/22536,"Add a new organization to ROR: Infection à VIH, réservoirs, diversité génétique et résistance aux antirétroviraux",Université Paris Cité,https://ror.org/05f82e368,https://ror.org/01m5tsd56,"Infection à VIH, réservoirs, diversité génétique et résistance aux antirétroviraux",Child,Release
22538,https://github.com/ror-community/ror-updates/issues/22538,"Add a new organization to ROR: Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique","Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique",https://ror.org/04yb08h36,https://ror.org/05f82e368,Université Paris Cité,Parent,Production
22538,https://github.com/ror-community/ror-updates/issues/22538,"Add a new organization to ROR: Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique",Université Paris Cité,https://ror.org/05f82e368,https://ror.org/04yb08h36,"Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique",Child,Release
22538,https://github.com/ror-community/ror-updates/issues/22538,"Add a new organization to ROR: Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique","Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique",https://ror.org/04yb08h36,https://ror.org/02vjkv261,Inserm,Parent,Production
22538,https://github.com/ror-community/ror-updates/issues/22538,"Add a new organization to ROR: Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique",Inserm,https://ror.org/02vjkv261,https://ror.org/04yb08h36,"Médecine Personnalisée, Pharmacogénomique, Optimisation Thérapeutique",Child,Release
22539,https://github.com/ror-community/ror-updates/issues/22539,Add a new organization to ROR: Molécules Thérapeutique in silico,Molécules Thérapeutique in silico,https://ror.org/05qj54f29,https://ror.org/05f82e368,Université Paris Cité,Parent,Production
22539,https://github.com/ror-community/ror-updates/issues/22539,Add a new organization to ROR: Molécules Thérapeutique in silico,Université Paris Cité,https://ror.org/05f82e368,https://ror.org/05qj54f29,Molécules Thérapeutique in silico,Child,Release
22541,https://github.com/ror-community/ror-updates/issues/22541,"Add a new organization to ROR: Recherche Clinique ville-hôpital, Méthodologies et Société","Recherche Clinique ville-hôpital, Méthodologies et Société",https://ror.org/018yhvz21,https://ror.org/05f82e368,Université Paris Cité,Parent,Production
22541,https://github.com/ror-community/ror-updates/issues/22541,"Add a new organization to ROR: Recherche Clinique ville-hôpital, Méthodologies et Société",Université Paris Cité,https://ror.org/05f82e368,https://ror.org/018yhvz21,"Recherche Clinique ville-hôpital, Méthodologies et Société",Child,Release
22542,https://github.com/ror-community/ror-updates/issues/22542,Add a new organization to ROR: Santé mentale et santé publique,Santé mentale et santé publique,https://ror.org/012asnv87,https://ror.org/03xjwb503,Université Paris-Saclay,Parent,Production
