Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
13028,https://github.com/ror-community/ror-updates/issues/13028,Modify the information in an existing ROR record:  Humboldt-Universität zu Berlin https://ror.org/01hcx6992,Humboldt-Universität zu Berlin,https://ror.org/01hcx6992,https://ror.org/023kksk09,Weizenbaum Institute,Delete,Production
13028,https://github.com/ror-community/ror-updates/issues/13028,Modify the information in an existing ROR record:  Humboldt-Universität zu Berlin https://ror.org/01hcx6992,Weizenbaum Institute,https://ror.org/023kksk09,https://ror.org/01hcx6992,Humboldt-Universität zu Berlin,Delete,Release
13028,https://github.com/ror-community/ror-updates/issues/13028,Modify the information in an existing ROR record:  Humboldt-Universität zu Berlin https://ror.org/01hcx6992,Humboldt-Universität zu Berlin,https://ror.org/01hcx6992,https://ror.org/023kksk09,Weizenbaum Institute,Related,Production
13028,https://github.com/ror-community/ror-updates/issues/13028,Modify the information in an existing ROR record:  Humboldt-Universität zu Berlin https://ror.org/01hcx6992,Weizenbaum Institute,https://ror.org/023kksk09,https://ror.org/01hcx6992,Humboldt-Universität zu Berlin,Related,Release
13493,https://github.com/ror-community/ror-updates/issues/13493,Modify the information in an existing ROR record: National Center for Post Traumatic Stress Disorder - https://ror.org/04xv0vq46,National Center for Post Traumatic Stress Disorder,https://ror.org/04xv0vq46,https://ror.org/02hd1sz82,"Mental Illness Research, Education and Clinical Centers",Parent,Production
13493,https://github.com/ror-community/ror-updates/issues/13493,Modify the information in an existing ROR record: National Center for Post Traumatic Stress Disorder - https://ror.org/04xv0vq46,"Mental Illness Research, Education and Clinical Centers",https://ror.org/02hd1sz82,https://ror.org/04xv0vq46,National Center for Post Traumatic Stress Disorder,Child,Release
13493,https://github.com/ror-community/ror-updates/issues/13493,Modify the information in an existing ROR record: National Center for Post Traumatic Stress Disorder - https://ror.org/04xv0vq46,National Center for Post Traumatic Stress Disorder,https://ror.org/04xv0vq46,https://ror.org/030j39b93,VA Sierra Pacific Network,Delete,Production
13493,https://github.com/ror-community/ror-updates/issues/13493,Modify the information in an existing ROR record: National Center for Post Traumatic Stress Disorder - https://ror.org/04xv0vq46,VA Sierra Pacific Network,https://ror.org/030j39b93,https://ror.org/04xv0vq46,National Center for Post Traumatic Stress Disorder,Delete,Release
13570,https://github.com/ror-community/ror-updates/issues/13570,Add a new organization to ROR: Nanjing Normal University Taizhou College,Nanjing Normal University Taizhou College,https://ror.org/01nb01b94,https://ror.org/036trcv74,Nanjing Normal University,Parent,Production
13570,https://github.com/ror-community/ror-updates/issues/13570,Add a new organization to ROR: Nanjing Normal University Taizhou College,Nanjing Normal University,https://ror.org/036trcv74,https://ror.org/01nb01b94,Nanjing Normal University Taizhou College,Child,Release
13578,https://github.com/ror-community/ror-updates/issues/13578,"Add a new organization to ROR: City Institute, Dalian University of Technology","City Institute, Dalian University of Technology",https://ror.org/04ccm0n64,https://ror.org/023hj5876,Dalian University of Technology,Parent,Production
13578,https://github.com/ror-community/ror-updates/issues/13578,"Add a new organization to ROR: City Institute, Dalian University of Technology",Dalian University of Technology,https://ror.org/023hj5876,https://ror.org/04ccm0n64,"City Institute, Dalian University of Technology",Child,Release
13580,https://github.com/ror-community/ror-updates/issues/13580,Add a new organization to ROR: IFP School,IFP School,https://ror.org/011xg5j78,https://ror.org/03gcbhc33,IFP Énergies nouvelles,Parent,Production
13580,https://github.com/ror-community/ror-updates/issues/13580,Add a new organization to ROR: IFP School,IFP Énergies nouvelles,https://ror.org/03gcbhc33,https://ror.org/011xg5j78,IFP School,Child,Release
13581,https://github.com/ror-community/ror-updates/issues/13581,"Add a new organization to ROR: Institute of BioChemistry, Molecular Biology and Biotechnology","Institute of Biochemistry, Molecular Biology and Biotechnology",https://ror.org/02f2f0234,https://ror.org/02phn5242,University of Colombo,Parent,Production
13581,https://github.com/ror-community/ror-updates/issues/13581,"Add a new organization to ROR: Institute of BioChemistry, Molecular Biology and Biotechnology",University of Colombo,https://ror.org/02phn5242,https://ror.org/02f2f0234,"Institute of Biochemistry, Molecular Biology and Biotechnology",Child,Release
13583,https://github.com/ror-community/ror-updates/issues/13583,Add a new organization to ROR: Sri Siddhartha Academy of Higher Education,Sri Siddhartha Academy of Higher Education,https://ror.org/05pc6yw33,https://ror.org/01zemh668,Sri Siddhartha Medical College,Child,Production
13583,https://github.com/ror-community/ror-updates/issues/13583,Add a new organization to ROR: Sri Siddhartha Academy of Higher Education,Sri Siddhartha Medical College,https://ror.org/01zemh668,https://ror.org/05pc6yw33,Sri Siddhartha Academy of Higher Education,Parent,Release
14221,https://github.com/ror-community/ror-updates/issues/14221,Add a new organization to ROR: Instituto Tecnológico de Zitácuaro,Instituto Tecnológico de Zitácuaro,https://ror.org/00dbv4g17,https://ror.org/00davry38,Tecnológico Nacional de México,Parent,Production
14221,https://github.com/ror-community/ror-updates/issues/14221,Add a new organization to ROR: Instituto Tecnológico de Zitácuaro,Tecnológico Nacional de México,https://ror.org/00davry38,https://ror.org/00dbv4g17,Instituto Tecnológico de Zitácuaro,Child,Release
14370,https://github.com/ror-community/ror-updates/issues/14370,Add a new organization to ROR: Santa Marcelina Educação,Santa Marcelina Educação,https://ror.org/01p3rp369,https://ror.org/044khe761,Santa Marcelina Colégio São Paulo,Child,Release
14370,https://github.com/ror-community/ror-updates/issues/14370,Add a new organization to ROR: Santa Marcelina Educação,Santa Marcelina Colégio São Paulo,https://ror.org/044khe761,https://ror.org/01p3rp369,Santa Marcelina Educação,Parent,Release
14370,https://github.com/ror-community/ror-updates/issues/14370,Add a new organization to ROR: Santa Marcelina Educação,Santa Marcelina Educação,https://ror.org/01p3rp369,https://ror.org/02r3ebk48,Faculdade Santa Marcelina Muriaé,Child,Release
14370,https://github.com/ror-community/ror-updates/issues/14370,Add a new organization to ROR: Santa Marcelina Educação,Faculdade Santa Marcelina Muriaé,https://ror.org/02r3ebk48,https://ror.org/01p3rp369,Santa Marcelina Educação,Parent,Release
14370,https://github.com/ror-community/ror-updates/issues/14370,Add a new organization to ROR: Santa Marcelina Educação,Santa Marcelina Educação,https://ror.org/01p3rp369,https://ror.org/03b1fmh33,Faculdade Santa Marcelina,Child,Release
14370,https://github.com/ror-community/ror-updates/issues/14370,Add a new organization to ROR: Santa Marcelina Educação,Faculdade Santa Marcelina,https://ror.org/03b1fmh33,https://ror.org/01p3rp369,Santa Marcelina Educação,Parent,Release
13593,https://github.com/ror-community/ror-updates/issues/13593,Add a new organization to ROR: S P Jain School of Global Management,S P Jain School of Global Management,https://ror.org/01x3vbs59,https://ror.org/02832k114,S P Jain School of Global Management,Related,Release
13593,https://github.com/ror-community/ror-updates/issues/13593,Add a new organization to ROR: S P Jain School of Global Management,S P Jain School of Global Management,https://ror.org/02832k114,https://ror.org/01x3vbs59,S P Jain School of Global Management,Related,Release
13594,https://github.com/ror-community/ror-updates/issues/13594,Add a new organization to ROR: S P Jain School of Global Management,S P Jain School of Global Management,https://ror.org/01x3vbs59,https://ror.org/02832k114,S P Jain School of Global Management,Related,Release
13594,https://github.com/ror-community/ror-updates/issues/13594,Add a new organization to ROR: S P Jain School of Global Management,S P Jain School of Global Management,https://ror.org/02832k114,https://ror.org/01x3vbs59,S P Jain School of Global Management,Related,Release
13860,https://github.com/ror-community/ror-updates/issues/13860,"Add a new organization to ROR: Universidade Técnica de Lisboa, Instituto Superior de Economia e Gestão",ISEG - Instituto Superior de Economia e Gestão,https://ror.org/03k2k6011,https://ror.org/01c27hj86,University of Lisbon,Parent,Production
13860,https://github.com/ror-community/ror-updates/issues/13860,"Add a new organization to ROR: Universidade Técnica de Lisboa, Instituto Superior de Economia e Gestão",University of Lisbon,https://ror.org/01c27hj86,https://ror.org/03k2k6011,ISEG - Instituto Superior de Economia e Gestão,Child,Release
13763,https://github.com/ror-community/ror-updates/issues/13763,Add a new organization to ROR: Universidade de Évora Centro de Geofísica de Évora,Centro de Geofísica de Évora,https://ror.org/00x0kn981,https://ror.org/02kmtwp90,Government of Portugal,Parent,Production
13763,https://github.com/ror-community/ror-updates/issues/13763,Add a new organization to ROR: Universidade de Évora Centro de Geofísica de Évora,Government of Portugal,https://ror.org/02kmtwp90,https://ror.org/00x0kn981,Centro de Geofísica de Évora,Child,Release
13763,https://github.com/ror-community/ror-updates/issues/13763,Add a new organization to ROR: Universidade de Évora Centro de Geofísica de Évora,Centro de Geofísica de Évora,https://ror.org/00x0kn981,https://ror.org/02gyps716,University of Évora,Parent,Production
13763,https://github.com/ror-community/ror-updates/issues/13763,Add a new organization to ROR: Universidade de Évora Centro de Geofísica de Évora,University of Évora,https://ror.org/02gyps716,https://ror.org/00x0kn981,Centro de Geofísica de Évora,Child,Release
13762,https://github.com/ror-community/ror-updates/issues/13762,Add a new organization to ROR: Instituto de Ciências da Terra,Instituto de Ciências da Terra,https://ror.org/03emnsk32,https://ror.org/043pwc612,Universidade do Porto,Parent,Production
13762,https://github.com/ror-community/ror-updates/issues/13762,Add a new organization to ROR: Instituto de Ciências da Terra,Universidade do Porto,https://ror.org/043pwc612,https://ror.org/03emnsk32,Instituto de Ciências da Terra,Child,Release
13749,https://github.com/ror-community/ror-updates/issues/13749,Add a new organization to ROR: Instituto Politécnico Jean Piaget do Sul,Instituto Politécnico Jean Piaget do Sul,https://ror.org/050wjx790,https://ror.org/044k31203,Instituto Piaget,Parent,Production
13749,https://github.com/ror-community/ror-updates/issues/13749,Add a new organization to ROR: Instituto Politécnico Jean Piaget do Sul,Instituto Piaget,https://ror.org/044k31203,https://ror.org/050wjx790,Instituto Politécnico Jean Piaget do Sul,Child,Release
13752,https://github.com/ror-community/ror-updates/issues/13752,Add a new organization to ROR: Instituto Superior de Estudos Interculturais e Transdisciplinares de Viseu,Instituto Superior de Estudos Interculturais e Transdisciplinares de Viseu,https://ror.org/03dfh0s94,https://ror.org/044k31203,Instituto Piaget,Parent,Production
13752,https://github.com/ror-community/ror-updates/issues/13752,Add a new organization to ROR: Instituto Superior de Estudos Interculturais e Transdisciplinares de Viseu,Instituto Piaget,https://ror.org/044k31203,https://ror.org/03dfh0s94,Instituto Superior de Estudos Interculturais e Transdisciplinares de Viseu,Child,Release
13756,https://github.com/ror-community/ror-updates/issues/13756,Add a new organization to ROR: Instituto Universitário Militar,Instituto Universitário Militar,https://ror.org/029me2p54,https://ror.org/000xab928,Estado-Maior-General das Forças Armadas,Parent,Release
13756,https://github.com/ror-community/ror-updates/issues/13756,Add a new organization to ROR: Instituto Universitário Militar,Estado-Maior-General das Forças Armadas,https://ror.org/000xab928,https://ror.org/029me2p54,Instituto Universitário Militar,Child,Release
13758,https://github.com/ror-community/ror-updates/issues/13758,Add a new organization to ROR: ISLA - Instituto Politécnico de Gestão e Tecnologia,ISLA - Instituto Politécnico de Gestão e Tecnologia,https://ror.org/02ad08x68,https://ror.org/03fyevk41,Grupo Lusófona (Portugal),Parent,Release
13758,https://github.com/ror-community/ror-updates/issues/13758,Add a new organization to ROR: ISLA - Instituto Politécnico de Gestão e Tecnologia,Grupo Lusófona (Portugal),https://ror.org/03fyevk41,https://ror.org/02ad08x68,ISLA - Instituto Politécnico de Gestão e Tecnologia,Child,Release
13772,https://github.com/ror-community/ror-updates/issues/13772,Add a new organization to ROR: Laboratório de Polícia Científica,Laboratório de Polícia Científica,https://ror.org/049cr8j69,https://ror.org/00898x434,Polícia Judiciária,Parent,Production
13772,https://github.com/ror-community/ror-updates/issues/13772,Add a new organization to ROR: Laboratório de Polícia Científica,Polícia Judiciária,https://ror.org/00898x434,https://ror.org/049cr8j69,Laboratório de Polícia Científica,Child,Release
13774,https://github.com/ror-community/ror-updates/issues/13774,Add a new organization to ROR: Instituto da Construção,Instituto da Construção,https://ror.org/04kc6j250,https://ror.org/043pwc612,Universidade do Porto,Parent,Production
13774,https://github.com/ror-community/ror-updates/issues/13774,Add a new organization to ROR: Instituto da Construção,Universidade do Porto,https://ror.org/043pwc612,https://ror.org/04kc6j250,Instituto da Construção,Child,Release
13776,https://github.com/ror-community/ror-updates/issues/13776,Add a new organization to ROR: GlaxoSmithKline Produtos Farmacêuticos Lda (Portugal),GlaxoSmithKline Produtos Farmacêuticos Lda (Portugal),https://ror.org/041mhqs27,https://ror.org/01xsqw823,GlaxoSmithKline (United Kingdom),Parent,Production
13776,https://github.com/ror-community/ror-updates/issues/13776,Add a new organization to ROR: GlaxoSmithKline Produtos Farmacêuticos Lda (Portugal),GlaxoSmithKline (United Kingdom),https://ror.org/01xsqw823,https://ror.org/041mhqs27,GlaxoSmithKline Produtos Farmacêuticos Lda (Portugal),Child,Release
13779,https://github.com/ror-community/ror-updates/issues/13779,Add a new organization to ROR: Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial,Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial,https://ror.org/01jbxwn06,https://ror.org/05xxfer42,Universidade Lusófona,Parent,Production
13779,https://github.com/ror-community/ror-updates/issues/13779,Add a new organization to ROR: Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial,Universidade Lusófona,https://ror.org/05xxfer42,https://ror.org/01jbxwn06,Instituto de Ciência e Inovação em Engenharia Mecânica e Engenharia Industrial,Child,Release
13778,https://github.com/ror-community/ror-updates/issues/13778,Add a new organization to ROR: Instituto Mediterrâneo para a Agricultura Ambiente e Desenvolvimento,Instituto Mediterrâneo para a Agricultura Ambiente e Desenvolvimento,https://ror.org/018m4p414,https://ror.org/02gyps716,University of Évora,Parent,Production
13778,https://github.com/ror-community/ror-updates/issues/13778,Add a new organization to ROR: Instituto Mediterrâneo para a Agricultura Ambiente e Desenvolvimento,University of Évora,https://ror.org/02gyps716,https://ror.org/018m4p414,Instituto Mediterrâneo para a Agricultura Ambiente e Desenvolvimento,Child,Release
