html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,
https://github.com/ror-community/ror-updates/issues/22864,https://ror.org/04kp61y04,,,,,,,replace==https://www.atem.org.au,,add==atem.org.au,,,,,,,,,,,,replace==6952201,
https://github.com/ror-community/ror-updates/issues/22866,https://ror.org/02mf8ey61,,,,,add==가야대학교*ko; 加耶大学校*ja; 加耶大學校*zh,,replace==https://www.kaya.ac.kr/Home/Main.mbz,,add==kaya.ac.kr,,,,,,,,,,,,replace==1842942;1842555,
https://github.com/ror-community/ror-updates/issues/22867,https://ror.org/01xpt7p88,,,,,,,replace==https://www.menningerclinic.org,,add==menningerclinic.org,,,,,,,,,,,,replace==4699066,
https://github.com/ror-community/ror-updates/issues/22872,https://ror.org/05fdt6816,,,,add==Observatoire international sur les impacts sociétaux de l’intelligence artificielle et du numérique*fr; International Observatory on the Societal Impacts of Artificial Intelligence and Digital Technologies*en,add==International Observatory on the Societal Impacts of AI and Digital Technologies*en,,,,,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/23831,https://ror.org/05s2fqz02,,,,,,,replace==https://www.uprutuado.edu,,add==uprutuado.edu,,,,,,add==0000 0004 0418 5970,replace==0000 0004 0418 5970,,,,,,
https://github.com/ror-community/ror-updates/issues/23830,https://ror.org/05phyf558,,,,add==UPR Carolina*es; Colegio Regional de Carolina*es,add==Universidad de Puerto Rico en Carolina*es,,replace==https://www.uprc.edu,,add==uprc.edu,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/23829,https://ror.org/058hjkk82,,,,add==UPR Bayamón*es; UPR-Bayamón*es,,delete==UPR-Bayamón,replace==https://www.uprb.edu,,add==uprb.edu,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/23828,https://ror.org/04w7hre37,,,,add==UPR Aguadilla*es; UPR-Aguadilla*es,add==Universidad de Puerto Rico en Aguadilla*es,replace==UPRAg,replace==https://www.uprag.edu,,add==uprag.edu,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22892,https://ror.org/0060x3y55,replace==Rutgers Cancer Institute*en,,,replace==Rutgers Cancer Institute of New Jersey*en; Cancer Institute of New Jersey*en; Rutgers Cancer Center*en; Rutgers University Cancer Institute of New Jersey*en,replace==Rutgers Cancer Institute*en,,,,add==cinj.org,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22894,https://ror.org/0589kgd85,,,,replace==京都大學湯河理論物理研究所*ja,replace==Yukawa Institute for Theoretical Physics*en; 京都大学基礎物理学研究所*ja,,,,add==yukawa.kyoto-u.ac.jp,,,,,,,,,,,,,
https://github.com/ror-community/ror-updates/issues/22898,https://ror.org/04yrgt058,,,,,,,,,,,,,,,,,,,,,replace==5107221,
https://github.com/ror-community/ror-updates/issues/22897,https://ror.org/004914a33,,,,,,,replace==https://www.vij.ru,,add==vij.ru,,,,,,,,,,,,replace==508091,
https://github.com/ror-community/ror-updates/issues/22785,https://ror.org/00pyv1r78,,,,,,,replace==https://www.cidp.edu.cn,,add==cidp.edu.cn,,,,,,,,,,,,replace==1796810,
