html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,related_relationships,successor_relationships
,https://ror.org/001kbww44,Museu Municipal Dr Santos Rocha*pt,active,archive,,Museu Municipal Dr Santos Rocha*pt,,,https://www.figueiradigital.com,,figueiradigital.com,,,,,,0000 0001 0727 0431,0000 0001 0727 0431,,,Figueira da Foz,Portugal,2739590,,,
,https://ror.org/002qcfp85,Production and Archive of Social Science Data*en,active,archive,,Production and Archive of Social Science Data*en,,PASSDA*en,https://passda.pt,,passda.pt,,,,,,0000 0005 0634 7045,0000 0005 0634 7045,,,Lisboa,Portugal,2267057,,,
,https://ror.org/05n694h24,Biblioteca Universitária João Paulo II*pt,active,archive,,Biblioteca Universitária João Paulo II*pt,,,https://www.ucp.pt/pt-pt/ensinoservicos-de-apoio/bibliotecas-da-universidade-catolica-portuguesa,,,,,,,,0000 0004 6037 3888,0000 0004 6037 3888,,,Lisboa,Portugal,2267057,https://ror.org/03b9snr86,,
,https://ror.org/024nbhd47,Centro de Documentação Europeia*pt,active,archive,,Centro de Documentação Europeia*pt,,UCP CDE*pt,https://www.porto.ucp.pt/pt/CDE,,,,,,,,0000 0004 7414 674X,0000 0004 7414 674X,,,Porto,Portugal,2735943,https://ror.org/03b9snr86,,
,https://ror.org/0172tk840,Centro de Documentação 25 de Abril*pt,active,archive,,Centro de Documentação 25 de Abril*pt,,Cd25A*pt,https://www.cd25a.uc.pt,,cd25a.uc.pt,,,,,,0000 0005 0633 1473,0000 0005 0633 1473,,,Coimbra,Portugal,2740637,https://ror.org/04z8k9a98,,
,https://ror.org/03865xp31,Biblioteca Francisco Pereira de Moura*pt,active,archive,,Biblioteca Francisco Pereira de Moura*pt,,,https://www.iseg.ulisboa.pt/biblioteca/,,,,,,,,0000 0004 7413 8635,0000 0004 7413 8635,,,Lisboa,Portugal,2267057,https://ror.org/01c27hj86,,
,https://ror.org/05ngwf943,Instituto Superior Técnico Biblioteca*pt,active,archive,,Instituto Superior Técnico Biblioteca*pt,,,https://bist.tecnico.ulisboa.pt,,bist.tecnico.ulisboa.pt,,,,,,0000 0005 1122 7726,0000 0005 1122 7726,,,Lisboa,Portugal,2267057,https://ror.org/01c27hj86,,
,https://ror.org/04m2z6m32,Biblioteca Pública de Braga*pt,active,archive,,Biblioteca Pública de Braga*pt,,BPB*pt,http://www.bpb.uminho.pt,,bpb.uminho.pt,,,,,,0000 0005 1091 4196,0000 0005 1091 4196,,,Braga,Portugal,2742032,https://ror.org/037wpkx04,,
,https://ror.org/00ssv5a91,Casa de Sarmento*pt,active,archive,,Casa de Sarmento*pt,,,https://www.csarmento.uminho.pt,,csarmento.uminho.pt,,,,,,0000 0005 0986 8639,0000 0005 0986 8639,,,Guimaraes,Portugal,2738752,https://ror.org/037wpkx04,,
,https://ror.org/053ytd308,Serviço de Documentação e Bibliotecas*pt,active,archive,,Serviço de Documentação e Bibliotecas*pt,,,https://www.usdb.uminho.pt,,usdb.uminho.pt,,,,,,0000 0005 0986 8612,0000 0005 0986 8612,,,Braga,Portugal,2742032,https://ror.org/037wpkx04,,
,https://ror.org/0501pvx50,Biblioteca Victor de Sá*pt,active,archive,,Biblioteca Victor de Sá*pt,,,https://biblioteca.ulusofona.pt,,biblioteca.ulusofona.pt,,,,,,0000 0004 7680 0266,0000 0004 7680 0266,,,Lisboa,Portugal,2267057,https://ror.org/05xxfer42,,
