ror_id,field,value,duplicated_in
https://ror.org/045x93337,external_ids_1_preferred,grid.268433.8,external_ids_1_all_0
https://ror.org/02wa0fq92,external_ids_0_preferred,501100007912,external_ids_0_all_0
https://ror.org/02wa0fq92,external_ids_1_preferred,grid.431933.f,external_ids_1_all_0
https://ror.org/02wa0fq92,external_ids_2_preferred,Q104181084,external_ids_2_all_0
https://ror.org/02wa0fq92,relationships_1_type,child,relationships_0_type
https://ror.org/05kaxtp50,external_ids_0_preferred,grid.441745.7,external_ids_0_all_0
https://ror.org/05kaxtp50,names_4_lang,es,names_1_lang
https://ror.org/05kaxtp50,names_4_value,Universidad Católica de Manizales,names_3_value
https://ror.org/00pn44t17,external_ids_0_preferred,100019697,external_ids_0_all_0
https://ror.org/00pn44t17,external_ids_1_preferred,grid.412199.6,external_ids_1_all_0
https://ror.org/04dyqmv49,external_ids_0_preferred,grid.415928.3,external_ids_0_all_0
https://ror.org/04dyqmv49,external_ids_1_preferred,Q3886613,external_ids_1_all_0
https://ror.org/04dyqmv49,names_3_lang,it,names_2_lang
https://ror.org/02rdkx920,external_ids_0_preferred,100014819,external_ids_0_all_4
https://ror.org/02rdkx920,external_ids_1_preferred,grid.418402.b,external_ids_1_all_0
https://ror.org/02rdkx920,external_ids_3_preferred,Q7889514,external_ids_3_all_0
https://ror.org/02rdkx920,relationships_1_type,child,relationships_0_type
https://ror.org/02rdkx920,relationships_2_type,child,relationships_0_type
https://ror.org/02rdkx920,relationships_3_type,child,relationships_0_type
https://ror.org/02rdkx920,relationships_4_type,child,relationships_0_type
https://ror.org/02rdkx920,relationships_5_type,child,relationships_0_type
https://ror.org/02rdkx920,relationships_6_type,child,relationships_0_type
https://ror.org/058t6p923,external_ids_0_preferred,grid.463805.c,external_ids_0_all_0
https://ror.org/058t6p923,relationships_1_type,parent,relationships_0_type
https://ror.org/058t6p923,relationships_2_type,parent,relationships_0_type
https://ror.org/00awbw743,external_ids_0_preferred,100017163,external_ids_0_all_0
https://ror.org/00awbw743,external_ids_1_preferred,grid.419788.b,external_ids_1_all_0
https://ror.org/00awbw743,names_3_lang,en,names_0_lang
https://ror.org/03v0pmy70,external_ids_0_preferred,100000201,external_ids_0_all_0
https://ror.org/03v0pmy70,external_ids_1_preferred,grid.239134.e,external_ids_1_all_0
https://ror.org/03v0pmy70,relationships_1_type,child,relationships_0_type
https://ror.org/03v0pmy70,relationships_2_type,child,relationships_0_type
https://ror.org/03v0pmy70,relationships_3_type,child,relationships_0_type
https://ror.org/03v0pmy70,relationships_4_type,child,relationships_0_type
https://ror.org/03v0pmy70,relationships_5_type,child,relationships_0_type
https://ror.org/03v0pmy70,relationships_6_type,child,relationships_0_type
https://ror.org/00af12v02,external_ids_0_preferred,grid.441299.3,external_ids_0_all_0
https://ror.org/033jnv181,external_ids_0_preferred,100000016,external_ids_0_all_0
https://ror.org/033jnv181,external_ids_1_preferred,grid.27235.31,external_ids_1_all_0
https://ror.org/033jnv181,relationships_1_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_2_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_3_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_4_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_5_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_6_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_7_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_8_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_9_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_10_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_11_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_12_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_13_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_14_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_15_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_16_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_17_type,child,relationships_0_type
https://ror.org/033jnv181,relationships_18_type,child,relationships_0_type
https://ror.org/00289aa83,external_ids_0_preferred,0000 0001 0725 3447,external_ids_0_all_0
https://ror.org/00289aa83,external_ids_1_preferred,Q4823886,external_ids_1_all_0
https://ror.org/00h52n341,external_ids_0_preferred,grid.453213.2,external_ids_0_all_0
https://ror.org/00h52n341,relationships_1_type,child,relationships_0_type
https://ror.org/00h52n341,relationships_2_type,child,relationships_0_type
https://ror.org/02atag894,external_ids_1_preferred,grid.453025.5,external_ids_1_all_0
https://ror.org/02atag894,names_3_lang,en,names_2_lang
https://ror.org/02atag894,names_4_lang,en,names_2_lang
https://ror.org/02atag894,names_5_lang,en,names_2_lang
https://ror.org/01h6dtw92,external_ids_0_preferred,0000 0005 0262 6338,external_ids_0_all_0
https://ror.org/01h6dtw92,external_ids_1_preferred,Q28233223,external_ids_1_all_0
https://ror.org/02j5s7g39,external_ids_0_preferred,100012481,external_ids_0_all_0
https://ror.org/02j5s7g39,external_ids_1_preferred,grid.97008.36,external_ids_1_all_0
https://ror.org/02bcmdm86,external_ids_0_preferred,grid.512790.8,external_ids_0_all_0
https://ror.org/03wyf0g15,external_ids_0_preferred,grid.473581.c,external_ids_0_all_0
