html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,NID,_decision,_reason,_matched_keyword
,https://ror.org/01hj08r27,"Philippine Federation of Chemistry Societies, Inc.*en",active,other,Philippine Federation of Chemistry Societies*en,"Philippine Federation of Chemistry Societies, Inc.*en",,https://www.pfcs.org.ph,,pfcs.org.ph,,,,,,,,,,Mandaluyong City,Philippines,1701966,,keep,keyword:keep,federation
,https://ror.org/03n1wkq56,Indian Society For Agricultural Development and Policy*en,active,other,,Indian Society For Agricultural Development and Policy*en,ISADP,https://www.isadp.in,,isadp.in,,,,,,,,,,Ludhiana,India,1264728,,keep,keyword:keep,society
,https://ror.org/00bcd5678,Sociedad Espanola de Enfermeria Oncologica*es,active,other,Spanish Society of Oncology Nursing*en,Sociedad Espanola de Enfermeria Oncologica*es,,https://seeo.org,,seeo.org,,,,,,,,,,Madrid,Spain,3117735,,keep,keyword:keep,sociedad
,https://ror.org/0313k1n30,Perhimpunan Radiografer Indonesia*id,active,other,,Perhimpunan Radiografer Indonesia*id,,http://www.pari.or.id,,pari.or.id,,,,,,,,,,Jakarta,Indonesia,1642911,,keep,keyword:keep,perhimpunan
,https://ror.org/03b2e1q18,Kolkata Bidhannagar Society for Academic Advancement*en,active,other,,Kolkata Bidhannagar Society for Academic Advancement*en,KBSAA,https://jaa.kbsaa.org,,jaa.kbsaa.org,,,,,,,,,,Kolkata,India,1275004,,keep,keyword:keep,society
,https://ror.org/047s2jg22,Medicolegal Association of Maharashtra*en,active,other,,Medicolegal Association of Maharashtra*en,,https://www.mlam.in,,mlam.in,,,,,,,,,,Mumbai,India,1275339,,keep,keyword:keep,association
,https://ror.org/047qz2680,Sociedad Mexicana de la Ciencia del Suelo A.C.*es,active,other,,Sociedad Mexicana de la Ciencia del Suelo A.C.*es,,https://www.smcsmx.org,,smcsmx.org,,,,,,,,,,Chapingo,Mexico,4022780,,keep,keyword:keep,sociedad
,https://ror.org/044sj0p67,Zgodovinsko drustvo dr. Franca Kovacica v Mariboru*sl,active,other,,Zgodovinsko drustvo dr. Franca Kovacica v Mariboru*sl,,http://zgodovinsko-drustvo-kovacic.si,,zgodovinsko-drustvo-kovacic.si,,,,,,,,,,Maribor,Slovenia,3195506,,keep,keyword:keep,drustvo
,https://ror.org/011550y38,Asosiasi Pusat Studi Wanita/Gender dan Anak Se-Indonesia*id,active,other,"The Indonesian Association of Women, Gender & Child Studies*en",Asosiasi Pusat Studi Wanita/Gender dan Anak Se-Indonesia*id,,https://salasika.org,,salasika.org,,,,,,,,,,Salatiga,Indonesia,1629131,,keep,keyword:keep,association
,https://ror.org/044gs1a36,Association for Theological Education in Southeast Asia*en,active,other,,Association for Theological Education in Southeast Asia*en,,https://atesea.net,,atesea.net,,,,,,,,,,Iloilo City,Philippines,1711005,,keep,keyword:keep,association
