Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
10100,https://github.com/ror-community/ror-updates/issues/10100,Modify the information in an existing ROR record: Franciscan University - https://ror.org/02bcmdm86,Franciscan University,https://ror.org/02bcmdm86,https://ror.org/00wbge811,Centro Universitário Franciscano,Successor,Release
10102,https://github.com/ror-community/ror-updates/issues/10102,"Modify the information in an existing ROR record: 
University of Iowa Hospitals and Clinics https://ror.org/04g2swc55
",University of Iowa Hospitals and Clinics,https://ror.org/04g2swc55,https://ror.org/036jqmy94,University of Iowa,Parent,Production
10102,https://github.com/ror-community/ror-updates/issues/10102,"Modify the information in an existing ROR record: 
University of Iowa Hospitals and Clinics https://ror.org/04g2swc55
",University of Iowa,https://ror.org/036jqmy94,https://ror.org/04g2swc55,University of Iowa Hospitals and Clinics,Child,Release
10102,https://github.com/ror-community/ror-updates/issues/10102,"Modify the information in an existing ROR record: 
University of Iowa Hospitals and Clinics https://ror.org/04g2swc55
",University of Iowa Hospitals and Clinics,https://ror.org/04g2swc55,https://ror.org/036jqmy94,University of Iowa,Delete,Production
10102,https://github.com/ror-community/ror-updates/issues/10102,"Modify the information in an existing ROR record: 
University of Iowa Hospitals and Clinics https://ror.org/04g2swc55
",University of Iowa,https://ror.org/036jqmy94,https://ror.org/04g2swc55,University of Iowa Hospitals and Clinics,Delete,Release
10103,https://github.com/ror-community/ror-updates/issues/10103,"Modify the information in an existing ROR record: 
University of Iowa Stead Family Children’s Hospital https://ror.org/0184n5y84
",University of Iowa Stead Family Children’s Hospital,https://ror.org/0184n5y84,https://ror.org/04g2swc55,University of Iowa Hospitals and Clinics,Parent,Release
10103,https://github.com/ror-community/ror-updates/issues/10103,"Modify the information in an existing ROR record: 
University of Iowa Stead Family Children’s Hospital https://ror.org/0184n5y84
",University of Iowa Hospitals and Clinics,https://ror.org/04g2swc55,https://ror.org/0184n5y84,University of Iowa Stead Family Children’s Hospital,Child,Release
10103,https://github.com/ror-community/ror-updates/issues/10103,"Modify the information in an existing ROR record: 
University of Iowa Stead Family Children’s Hospital https://ror.org/0184n5y84
",University of Iowa Stead Family Children’s Hospital,https://ror.org/0184n5y84,https://ror.org/0431j1t39,University of Iowa Health Care,Delete,Release
10103,https://github.com/ror-community/ror-updates/issues/10103,"Modify the information in an existing ROR record: 
University of Iowa Stead Family Children’s Hospital https://ror.org/0184n5y84
",University of Iowa Health Care,https://ror.org/0431j1t39,https://ror.org/0184n5y84,University of Iowa Stead Family Children’s Hospital,Delete,Release
10104,https://github.com/ror-community/ror-updates/issues/10104,"Modify the information in an existing ROR record: 
University of Iowa Health Care https://ror.org/0431j1t39
",University of Iowa Health Care,https://ror.org/0431j1t39,https://ror.org/036jqmy94,University of Iowa,Parent,Production
10104,https://github.com/ror-community/ror-updates/issues/10104,"Modify the information in an existing ROR record: 
University of Iowa Health Care https://ror.org/0431j1t39
",University of Iowa,https://ror.org/036jqmy94,https://ror.org/0431j1t39,University of Iowa Health Care,Child,Release
10104,https://github.com/ror-community/ror-updates/issues/10104,"Modify the information in an existing ROR record: 
University of Iowa Health Care https://ror.org/0431j1t39
",University of Iowa Health Care,https://ror.org/0431j1t39,https://ror.org/036jqmy94,University of Iowa,Delete,Production
10104,https://github.com/ror-community/ror-updates/issues/10104,"Modify the information in an existing ROR record: 
University of Iowa Health Care https://ror.org/0431j1t39
",University of Iowa,https://ror.org/036jqmy94,https://ror.org/0431j1t39,University of Iowa Health Care,Delete,Release
10144,https://github.com/ror-community/ror-updates/issues/10144,Modify the information in an existing ROR record: Alcoa (United States) - https://ror.org/003yb7p17,Alcoa (United States),https://ror.org/003yb7p17,https://ror.org/05gmzxc62,Arconic (United States),Related,Production
