html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,,ThinkSono GmbH (Germany),active,company,ThinkSono; ThinkSono Ltd.,ThinkSono GmbH (Germany); ThinkSono GmbH,,https://thinksono.com,,thinksono.com,,,,,,,,,,Potsdam,Germany,2852458
,,Elona Health GmbH (Germany),active,company,Elona Health,Elona Health GmbH (Germany); Elona Health GmbH,,https://www.elona.health,,elona.health,,,,,,,,,,Düsseldorf,Germany,2934246
,,The cGP Lab Ltd. (New Zealand),active,company,The cGP Lab; cGP Lab,The cGP Lab Ltd. (New Zealand); The cGP Lab Ltd.,,https://thecgplab.com,,thecgplab.com,,,,,,,,,,Auckland,New Zealand,2193733
,,Alizyme PLC (United Kingdom),inactive,company,Alizyme; Alizyme Therapeutics Limited,Alizyme PLC (United Kingdom); Alizyme PLC,,https://www.alizyme.com,,alizyme.com,,,,,,,,,,Cambridge,United Kingdom,2653941
,,Unmind Ltd. (United Kingdom),active,company,Unmind,Unmind Ltd. (United Kingdom); Unmind Ltd.,,https://unmind.com,,unmind.com,,,,,,,,,,London,United Kingdom,2643743
,,EnteroBiotix Limited (United Kingdom),active,company,EnteroBiotix,EnteroBiotix Limited (United Kingdom); EnteroBiotix Limited,,https://www.enterobiotix.com,,enterobiotix.com,,,,,,,,,,Bellshill,United Kingdom,2655952
,,Swedish Match AB (publ) (Sweden),active,company,Swedish Match,Swedish Match AB (publ) (Sweden); Swedish Match AB (publ),,https://www.swedishmatch.com,,swedishmatch.com,,,,,,,,,,Stockholm,Sweden,2673730
,,Esserre Pharma Srl (Italy),active,company,Esserre Pharma,Esserre Pharma Srl (Italy); Esserre Pharma Srl,,https://www.esserrepharma.com,,esserrepharma.com,,,,,,,,,,Rome,Italy,3169070
,,"Botanic Tonics, LLC (United States)",active,company,Botanic Tonics; feel free,"Botanic Tonics, LLC (United States); Botanic Tonics, LLC",,https://botanictonics.com,,botanictonics.com,,,,,,,,,,Tulsa,United States,4553433
,,Société Française de Médecine Générale*fr,active,nonprofit,,Société Française de Médecine Générale*fr,SFMG,https://www.sfmg.fr,,sfmg.fr,,,,,,,,,,Issy-les-Moulineaux,France,3012649
,,MatOrtho Limited (United Kingdom),active,company,MatOrtho,MatOrtho Limited (United Kingdom); MatOrtho Limited,,https://www.matortho.com,,matortho.com,,,,,,,,,,Leatherhead,United Kingdom,2644726
,,Youth Endowment Fund*en,active,nonprofit,,Youth Endowment Fund*en,YEF,https://youthendowmentfund.org.uk,,youthendowmentfund.org.uk,,,,,,,,,,London,United Kingdom,2643743
,,Bionap Srl (Italy),active,company,,Bionap Srl (Italy); Bionap Srl,BIONAP,https://bionap.com,,bionap.com,,,,,,,,,,Belpasso,Italy,2525571
,,Symprove Ltd. (United Kingdom),active,company,Symprove,Symprove Ltd. (United Kingdom); Symprove Ltd.,,https://www.symprove.com,,symprove.com,,,,,,,,,,Farnham,United Kingdom,2649660
,,Horus Pharma (France),active,company,Laboratoires Horus Pharma; Horus Pharma SAS,Horus Pharma (France); Horus Pharma,,https://www.horus-pharma.com,,horus-pharma.com,,,,,,,,,,Nice,France,2990440
,,"Engrail Therapeutics, Inc. (United States)",active,company,Engrail Therapeutics; Engrail,"Engrail Therapeutics, Inc. (United States); Engrail Therapeutics, Inc.",,https://www.engrail.com,,engrail.com,,,,,,,,,,San Diego,United States,5391811
,,"Noventure, S. L. (Spain)",active,company,Noventure SL; Noventure,"Noventure, S. L. (Spain); Noventure, S. L.",,https://www.noventure.com,,noventure.com,,,,,,,,,,Barcelona,Spain,3128760
,,"Trevena, Inc. (United States)",active,company,Trevena,"Trevena, Inc. (United States); Trevena, Inc.",TRVN,https://www.trevena.com,,trevena.com,,,,,,,,,,Atlanta,United States,4180439
,,PPM Services SA (Switzerland),active,company,PPM Services; PPM (Pharma Project Management) Services,PPM Services SA (Switzerland); PPM Services SA,,https://ppmservices.ch,,ppmservices.ch,,,,,,,,,,Morbio Inferiore,Switzerland,2659597
,,North Suburban Eye Associates*en,active,healthcare,North Suburban Eye Specialists*en,North Suburban Eye Associates*en,NSEA,https://www.northsuburbaneye.com/,,northsuburbaneye.com,,,,,,,,,,Wakefield,United States,5143056
,,Increnovo LLC (United States),active,company,Increnovo,Increnovo LLC (United States); Increnovo LLC,,https://www.increnovo.com,,increnovo.com,,,,,,,,,,Whitefish Bay,United States,5278897
,,Soterios Limited (United Kingdom),active,company,Soterios Pharma; Soterios Ltd.,Soterios Limited (United Kingdom); Soterios Limited,,https://www.soteriospharma.com,,soteriospharma.com,,,,,,,,,,Salisbury,United Kingdom,2638664
