Issue # from Github,Issue URL,Issue title from Github,Name of org in Record ID,Record ID,Related ID,Name of org in Related ID,Relationship of Related ID to Record ID,Current location of Related ID
573,https://github.com/ror-community/ror-updates/issues/573,Deprecate an existing ROR record: Princess Margaret Hospital for Children - https://ror.org/04ec98z42,Princess Margaret Hospital for Children,https://ror.org/04ec98z42,https://ror.org/015zx6n37,Perth Children's Hospital,Successor,Production
599,https://github.com/ror-community/ror-updates/issues/599,Deprecate/Redirect Public Health England - https://ror.org/00vbvha87 ,Public Health England,https://ror.org/00vbvha87,https://ror.org/018h10037,UK Health Security Agency,Successor,Production
599,https://github.com/ror-community/ror-updates/issues/599,Deprecate/Redirect Public Health England - https://ror.org/00vbvha87 ,UK Health Security Agency,https://ror.org/018h10037,https://ror.org/00vbvha87,Public Health England,Predecessor,Release
599,https://github.com/ror-community/ror-updates/issues/599,Deprecate/Redirect Public Health England - https://ror.org/00vbvha87 ,Public Health England,https://ror.org/00vbvha87,https://ror.org/02m3w2z38,Office for Health Improvement and Disparities,Successor,Production
599,https://github.com/ror-community/ror-updates/issues/599,Deprecate/Redirect Public Health England - https://ror.org/00vbvha87 ,Office for Health Improvement and Disparities,https://ror.org/02m3w2z38,https://ror.org/00vbvha87,Public Health England,Predecessor,Release
617,https://github.com/ror-community/ror-updates/issues/617,Deprecate/Merge: Canadian Plastics Industry Association - https://ror.org/05esm3b90,Canadian Plastics Industry Association,https://ror.org/05esm3b90,https://ror.org/05p0ja512,Chemistry Industry Association of Canada,Successor,Production
620,https://github.com/ror-community/ror-updates/issues/620,Deprecate/Merge: Canadian Breast Cancer Foundation - https://ror.org/04n0vf235,Canadian Breast Cancer Foundation,https://ror.org/04n0vf235,https://ror.org/017343w90,Canadian Cancer Society,Successor,Production
622,https://github.com/ror-community/ror-updates/issues/622,Deprecate/Merge: Canadian Polar Commission - https://ror.org/00em52312,Canadian Polar Commission,https://ror.org/00em52312,https://ror.org/00rfash91,Polar Knowledge Canada,Successor,Production
623,https://github.com/ror-community/ror-updates/issues/623,Deprecate/Merge: Aboriginal Affairs Northern Dev Canada - https://ror.org/05pgxdd43,Aboriginal Affairs Northern Dev Canada,https://ror.org/05pgxdd43,https://ror.org/05xmf1h49,Crown-Indigenous Relations and Northern Affairs Canada,Successor,Production
623,https://github.com/ror-community/ror-updates/issues/623,Deprecate/Merge: Aboriginal Affairs Northern Dev Canada - https://ror.org/05pgxdd43,Crown-Indigenous Relations and Northern Affairs Canada,https://ror.org/05xmf1h49,https://ror.org/05pgxdd43,Aboriginal Affairs Northern Dev Canada,Predecessor,Release
